Longitude,Latitude,pH,Hardness,Solids,Conductivity,Turbidity
71.600455,29.319526,7.37029,55.4209,17319.1464,38829.93708,8.60426
71.723489,29.328846,7.43646,50.66171,28016.33412,11905.36006,7.68165
71.746026,29.403401,7.07307,62.4766,3191.20152,27.27295,3.15454
71.727417,29.27281,8.30975,78.06978,1394.85562,2706.16002,0.978
71.623804,29.436898,5.49506,113.15196,38805.13881,1050.64137,9.61784
71.755487,29.383162,6.84748,171.77483,28316.0567,41.22847,4.34894
71.617552,29.404668,6.85763,62.5845,35124.86011,536.66349,0.44792
71.705426,29.360309,6.70687,12.26005,4845.47757,20819.17749,4.40612
71.761615,29.353487,10.69957,85.90187,16119.7714,19110.98762,19.81846
71.776949,29.374779,6.62854,147.46859,5187.37372,1460.15257,3.39039
71.631068,29.444534,6.58252,60.55654,10512.52342,5.15891,17.66939
71.608749,29.324593,6.9773,132.61323,36168.48933,996.86823,23.74914
71.775721,29.379841,7.11239,90.00317,37494.11182,13557.65045,10.19516
71.676751,29.423421,6.82986,144.12014,36561.19864,53223.0246,4.47319
71.673087,29.432197,6.90485,148.99846,37551.9763,3917.74347,3.68275
71.746796,29.337553,7.10498,143.20357,5910.04321,281.11925,5.85736
71.749837,29.276487,6.60235,80.44361,37242.63525,21185.99525,8.71213
71.712124,29.402444,7.94054,154.40708,35483.80878,27556.84819,10.05455
71.772941,29.350495,9.65408,115.36827,11526.66524,49842.26577,1.34726
71.62789,29.4078,7.06833,98.7052,6195.02092,2780.40121,1.5203
71.648741,29.381038,6.84065,111.24484,36536.72962,2752.36065,44.87155
71.770499,29.395235,8.51953,75.65936,36886.93986,40094.02681,6.62619
71.679776,29.31699,7.40416,90.26302,30845.19623,48268.95858,7.10583
71.600085,29.355407,4.4216,218.44696,24609.07615,17849.20816,1.65003
71.723705,29.414283,7.42153,106.29585,10850.72479,54762.12382,10.44522
71.711238,29.409579,6.71531,85.75649,34004.5265,210.25578,0.37593
71.696184,29.282323,7.77343,114.68547,36460.44545,47875.72032,12.88437
71.66846,29.438183,6.8033,85.45392,35514.73515,203.95701,11.08977
71.754608,29.40353,8.9946,83.64689,2684.5652,23476.54257,23.88318
71.760631,29.276755,6.73896,92.64743,30847.53195,23892.33414,2.31939
71.761675,29.424156,5.27315,106.56735,2388.40367,7721.73915,3.86441
71.719206,29.427849,7.07722,89.17682,13462.2244,7836.87978,20.23367
71.720934,29.35826,10.8854,77.62646,32230.56482,18778.56945,6.45597
71.693306,29.458612,7.12402,115.29971,9456.69156,21632.44413,8.55483
71.691144,29.384527,7.21018,147.327,35786.33531,30873.9192,14.40047
71.761877,29.387446,5.77687,117.96371,658.71942,41332.43771,0.94067
71.626571,29.436282,7.58435,85.94383,35834.93482,47195.36838,3.6831
71.73279,29.347236,7.56911,95.42799,28779.11264,10729.6993,0.73022
71.712871,29.415163,4.23417,72.21683,28653.72922,41411.55442,6.2996
71.642658,29.446623,7.34448,240.61678,8449.80292,30509.80663,3.78763
71.682927,29.434851,7.03387,117.7719,35461.95254,14109.63438,1.0231
71.602867,29.428745,6.56788,94.21739,38217.91107,13097.43154,4.56758
71.663402,29.343586,7.33329,86.70122,1925.66521,14291.25427,9.16381
71.653747,29.421791,7.73533,117.0493,27470.09057,27847.49216,6.05733
71.660077,29.459896,4.16014,4.67144,29010.07531,400.34524,1.87297
71.746438,29.321989,5.49909,104.31394,22500.88328,22809.23638,0.07116
71.615321,29.340077,7.60022,86.46566,14225.3214,36523.53513,33.614
71.61769,29.359543,6.68449,122.37344,18999.33508,6850.24116,7.85635
71.653027,29.402157,7.12961,158.29648,28097.24107,2383.61975,14.17112
71.604924,29.292466,6.55474,135.2064,6790.29071,5937.84489,16.69022
71.699955,29.455837,6.64159,70.92372,11301.79919,24630.01303,5.0941
71.618957,29.41358,6.9106,98.86508,29435.94271,13181.58327,0.17105
71.625025,29.384859,7.5406,125.02405,8062.25786,4093.51572,40.73448
71.682942,29.440717,7.21063,89.56935,25149.64603,10095.91707,34.63152
71.685697,29.399298,5.25706,119.09116,37235.63756,43541.96713,3.10085
71.741068,29.369967,6.51893,45.93007,23079.16759,13949.06358,35.33568
71.608031,29.335949,9.40851,74.58736,32432.9595,4283.88481,3.47071
71.612353,29.353812,7.38681,66.05253,30802.12931,23242.75865,1.74834
71.628341,29.360744,6.77001,106.42301,29337.62867,18669.1642,12.6118
71.708246,29.268696,7.27267,72.62079,36993.887,52153.85657,17.93086
71.665709,29.385848,7.49942,100.2991,5656.15364,2.03688,8.54196
71.64234,29.435458,7.1983,150.40693,15278.43647,8745.56751,22.71154
71.745831,29.282907,7.46586,121.83114,6254.1057,28958.33894,9.75503
71.678932,29.444349,7.91729,83.56955,20224.38385,19339.17577,7.21334
71.600607,29.381994,7.40413,115.71407,15405.8586,48934.6288,9.51974
71.67976,29.284004,7.25275,54.10437,29840.15228,54289.96631,4.87695
71.699829,29.292318,7.53716,95.72869,14724.63429,32042.16734,24.45423
71.716823,29.356132,7.61484,60.84118,484.17465,26490.82692,1.61302
71.604237,29.306365,8.25057,125.44996,20168.8537,17949.84601,1.99723
71.741096,29.341378,6.85886,135.16682,19433.72704,27919.94611,5.82603
71.7111,29.409465,7.27764,67.67657,18532.79945,20882.05211,23.32229
71.717807,29.354941,6.35854,103.01497,32459.11982,34022.84984,4.19862
71.674433,29.381042,7.89238,67.50355,36965.25033,19767.42199,6.87695
71.759287,29.358716,7.28776,66.03272,21641.23209,21641.64724,12.03985
71.775263,29.393457,7.68021,110.36624,8818.01392,4381.64634,3.59931
71.665546,29.429417,7.36038,161.49859,32433.88753,36027.34499,3.15961
71.74273,29.339306,6.75944,7.35261,21763.71058,31449.49283,36.98294
71.742315,29.295876,6.71432,94.21268,36313.20294,760.83047,6.07597
71.650598,29.317861,0.13657,90.672,38871.38391,24901.14208,0.45616
71.690709,29.361097,7.711,147.33334,20034.70552,30657.32164,10.81384
71.622185,29.320748,7.82113,71.22964,4761.4477,34471.53223,5.53737
71.776717,29.366639,5.09365,61.83133,12399.26181,17935.22686,5.58061
71.711536,29.310796,7.43813,98.93822,21379.5195,36308.42279,8.03514
71.711933,29.39022,7.20925,118.1928,12342.95661,38557.56229,14.31529
71.704899,29.332723,7.82895,87.53453,38703.95518,21221.11085,5.85278
71.611775,29.352397,6.5198,69.91554,15525.90655,39956.40219,6.49808
71.698145,29.379438,7.28493,105.32279,14299.22191,18898.81708,93.63858
71.626112,29.299346,7.66566,65.20302,11589.57321,179.05844,26.03139
71.675668,29.396477,7.87034,239.7105,28059.52227,365.93579,6.93011
71.740084,29.333587,7.17329,85.2905,11211.85998,20169.75891,8.29818
71.75846,29.28778,6.66466,270.17098,15202.25857,11320.89951,0.76315
71.775502,29.295995,7.96746,40.66271,7036.22245,35.96872,21.30169
71.62021,29.319341,8.45372,111.97236,1141.53341,14099.77505,3.44832
71.737996,29.306676,9.63506,67.92891,13056.45534,22145.66679,5.96156
71.647938,29.323414,7.70176,102.86732,16235.55002,39956.93565,3.3174
71.68388,29.410636,7.9284,137.09379,28038.92484,46008.97481,7.20857
71.615377,29.403666,6.51164,74.69607,28204.24785,6358.13394,1.29959
71.643864,29.367925,10.22135,48.81651,36952.8663,518.89037,5.79061
71.676776,29.44292,4.59712,65.22244,27071.60017,41096.70156,6.64313
71.625118,29.367468,6.71294,170.69661,24465.50415,45949.38928,9.73245
71.629978,29.413692,10.73896,90.82466,10936.30017,19028.78465,16.21889
71.680598,29.371761,7.3862,41.39093,32389.04085,8214.28438,0.02473
71.773691,29.393172,7.93295,104.09825,7118.8469,32295.78055,37.53666
71.650522,29.369105,6.87398,125.97135,11614.7582,24556.43753,11.02312
71.766479,29.320012,6.65556,62.89834,21554.12989,27921.06039,21.52062
71.759439,29.337846,7.85977,76.98766,23247.33972,16820.65395,8.91324
71.710262,29.360246,7.03763,113.06393,21262.93808,2.91014,7.14591
71.772353,29.334804,10.33129,143.86764,19057.63748,30420.04847,6.13602
71.626816,29.378738,7.80612,159.80801,29608.67451,12920.17724,5.49686
71.658307,29.275806,7.84785,104.83761,28572.27273,49135.30944,32.81409
71.620233,29.329799,4.00976,93.2449,30938.53792,44066.46481,13.45908
71.750598,29.269107,7.84322,76.6285,19000.19638,52891.89502,4.95312
71.747974,29.436248,1.71195,113.21616,37850.10154,2193.09339,13.79773
71.70925,29.318115,6.84418,11.9836,39653.46292,39724.22115,16.76117
71.778184,29.260234,7.69353,93.93242,28981.44769,37030.80864,101.12278
71.692253,29.40074,0.65257,76.76408,39587.86501,31.04606,4.90631
71.648244,29.402807,7.15981,103.68207,22615.13955,2.94186,5.31411
71.749302,29.339883,6.96486,109.04056,30546.1782,22223.76156,8.68737
71.712957,29.400849,7.1587,48.71649,3122.98495,4.38498,7.69186
71.679507,29.316728,7.17215,103.94564,8510.85148,2195.51639,6.02413
71.773673,29.282878,7.21961,81.55624,10846.48376,38.45951,2.97161
71.664656,29.286927,7.58885,57.19509,28968.99347,2341.48821,13.32369
71.670251,29.36584,7.46471,80.73564,32496.02749,38721.25715,6.57304
71.766914,29.387909,6.57219,72.54473,15696.49553,5591.62931,94.85625
71.777432,29.33767,7.90023,218.30705,12717.94325,9785.6618,24.49804
71.72003,29.386904,8.44069,74.07916,1710.45663,29010.97548,7.31852
71.707125,29.310017,7.86231,78.02035,35806.45643,2823.75656,5.95927
71.689245,29.305457,7.96227,177.65761,20199.9966,52490.26477,0.43527
71.660853,29.318054,10.01785,28.82601,8343.49363,53917.95991,12.75409
71.602179,29.362458,7.22716,62.55999,37467.22061,40795.00183,20.20974
71.711036,29.328935,7.8312,87.43255,37057.01754,7820.51255,13.05902
71.668271,29.4253,7.29967,62.8572,36834.32357,29528.90646,5.88856
71.752661,29.261072,8.03304,153.06474,5106.64526,88.01678,6.58459
71.723037,29.333512,4.03223,73.3547,34499.97357,12117.35155,2.77911
71.64166,29.364727,6.90581,68.77867,3712.96064,527.3888,4.40027
71.729538,29.347126,6.80706,110.86209,20011.14507,39763.21633,2.31771
71.669053,29.451436,7.15066,99.2662,23587.29549,35605.0441,0.71272
71.650774,29.319274,7.86108,101.35401,24202.66254,9319.28184,25.50816
71.672275,29.266292,7.51235,70.48454,38157.8651,7116.13546,16.78363
71.727083,29.36918,6.51724,65.42473,2568.85842,10.30194,9.79544
71.674425,29.385862,7.80127,78.19999,24926.22478,41803.67063,7.08989
71.72839,29.321927,6.75507,92.16815,31692.27416,18015.47403,41.19922
71.707315,29.286987,7.43031,77.56268,38477.28546,28670.12177,29.69451
71.675801,29.459318,7.43714,142.52317,15086.96011,48675.86705,4.55403
71.652136,29.385344,7.09724,80.20121,23187.67441,28257.91998,217.82757
71.676003,29.262305,7.62679,119.02691,1994.17071,34789.42221,2.01197
71.641568,29.331665,6.53851,72.43685,17440.52351,31156.70697,7.31558
71.772019,29.28545,6.82465,96.21877,2354.08399,51618.64518,3.96708
71.636957,29.424744,6.67612,63.4991,26601.15626,2061.09381,8.87629
71.627223,29.429277,7.53631,89.67611,981.25459,4867.00961,39.93449
71.7427,29.341225,6.84858,61.00697,15309.47582,3840.56775,1.12343
71.647334,29.429009,5.36959,87.68779,19204.13398,3197.69314,19.97011
71.621147,29.270539,6.64472,115.84609,31333.48762,40125.87301,2.04019
71.627544,29.278582,7.94466,0.09206,14539.51423,669.94596,5.64458
71.638594,29.333274,6.86249,83.72694,33479.50316,9267.6082,2.15846
71.752406,29.362961,7.38094,73.1744,18277.13967,166.82377,3.09906
71.647926,29.451346,10.5115,73.40896,5191.58625,47898.48917,41.25532
71.738189,29.402422,6.99294,76.69494,22400.54382,535.45535,95.24987
71.701641,29.367472,7.85231,161.89291,38708.1153,400.80558,5.85651
71.605025,29.447107,6.90194,60.58792,35849.05442,45399.56339,1.7674
71.647987,29.432525,6.94098,118.76527,28008.84231,9589.30549,28.44578
71.683776,29.290361,7.04721,126.86163,38869.18409,6524.61027,6.99029
71.667201,29.379678,7.79981,127.53059,13465.02235,4655.44484,67.149
71.621982,29.337276,0.21367,77.26884,303.79742,44375.21595,21.07954
71.619325,29.441419,6.70479,88.49087,19204.6391,3226.40867,12.76113
71.777642,29.339837,6.41299,267.47046,20226.06517,50857.52747,0.67653
71.652437,29.432655,7.84393,121.99852,15771.64896,31455.38445,5.27265
71.6207,29.415455,7.94135,103.14319,1423.64069,30304.86699,0.73954
71.715235,29.353082,7.77766,61.4244,27851.84109,35917.93338,2.29066
71.685734,29.383583,7.47168,111.03959,23280.21855,951.67878,7.65815
71.618853,29.42799,6.06867,83.74938,18038.43059,37240.75343,22.99894
71.708335,29.382682,7.03308,86.40612,11686.8535,194.21176,0.4826
71.61141,29.414463,7.9856,91.82106,4929.89916,5207.32177,8.52997
71.718484,29.414351,7.27548,84.7045,34936.74744,3039.67663,17.80105
71.71154,29.305697,6.82635,139.24639,20528.50921,83.82783,3.51597
71.778392,29.366586,7.77477,93.16868,1228.93729,21.71205,8.05177
71.767498,29.35662,6.74493,68.35848,23295.53268,18984.16211,5.29554
71.65614,29.356172,7.86479,74.10262,19657.29339,17169.84891,18.33587
71.649935,29.376211,7.7292,72.81079,39579.75928,11325.6294,38.26724
71.722048,29.35514,6.64463,266.22869,37409.91501,39156.01628,19.88403
71.743492,29.397991,10.61852,223.33567,27215.41409,11339.50648,0.82143
71.645248,29.338707,7.9625,108.34689,37252.15155,49803.20732,4.31118
71.775645,29.387979,4.85157,106.23926,26339.94489,53026.37899,0.14218
71.642383,29.34176,4.2331,62.97069,31570.79831,49069.32316,246.44766
71.742861,29.269993,7.53253,106.14229,31469.53925,11.6525,5.41549
71.746442,29.440906,7.64371,110.9021,14675.50554,12944.73165,24.74066
71.646961,29.288773,7.8308,106.86626,3369.19514,36895.39376,0.60738
71.626788,29.397395,6.93268,167.52324,28159.6944,51627.00256,4.81294
71.642846,29.308002,7.05918,104.45936,12131.66788,16.45188,48.3437
71.632208,29.372582,6.88426,170.28021,27306.64844,4131.12625,6.24498
71.692824,29.440306,7.61308,77.55242,37319.95864,33719.74931,1.77062
71.674535,29.321212,7.29281,63.98729,6595.51997,20871.76278,9.2451
71.670386,29.371882,7.9492,78.05726,39290.60388,21533.58783,5.63511
71.657997,29.304347,7.17566,128.72761,17613.49197,8643.49905,0.43905
71.703321,29.265217,6.15952,177.48416,2316.59523,14176.92801,3.71848
71.694204,29.363571,5.77211,202.86495,16576.29997,34942.77784,6.21314
71.684878,29.363082,7.7265,160.66509,35809.27035,52886.19088,12.01667
71.712325,29.441219,1.51885,117.05039,33948.1991,51.28682,16.7029
71.61488,29.335838,7.45566,269.80931,22942.73467,5278.68819,8.49396
71.641239,29.360902,7.24964,149.2228,30464.84656,1.89329,3.93769
71.750695,29.400644,7.35867,73.4004,18402.88943,52577.07705,1.8999
71.660893,29.351122,6.96322,154.34628,10481.78569,36405.42475,90.29917
71.669348,29.293993,6.397,127.79542,10085.0133,18718.23281,96.81887
71.638349,29.439973,7.88858,108.28541,21105.10087,7585.29054,17.13753
71.639331,29.426201,6.56906,62.62489,18262.60222,36423.25637,8.77712
71.670837,29.273295,6.5206,102.46755,37394.11904,3076.83026,2.44996
71.712653,29.371516,8.57223,70.13824,29080.87701,8932.09807,0.74317
71.759781,29.362386,7.21678,111.69451,4870.88139,22696.04117,2.16604
71.772775,29.421282,6.73338,163.57862,28688.4023,7292.67962,16.75686
71.727465,29.283089,6.89181,156.45617,24518.21512,28274.10839,12.47622
71.615095,29.351744,6.73094,99.2241,26325.91773,716.60742,90.52012
71.777599,29.394337,6.76912,60.26294,26898.99803,18755.86676,0.64937
71.707453,29.339322,1.35317,98.93743,12232.63074,2.11715,20.15292
71.774041,29.363488,0.68725,90.26816,22102.59392,3.27186,1.12138
71.710542,29.345771,7.33882,109.75221,17233.31823,42992.19265,4.34495
71.722561,29.429824,4.29663,87.03865,30128.35695,51054.15997,9.3741
71.629042,29.317508,6.1406,81.59954,8712.00521,30254.73195,8.11104
71.74641,29.445136,4.2936,79.95953,15124.79964,54186.70674,198.63293
71.662801,29.279611,7.05648,70.96886,29673.51896,482.65928,67.69068
71.675532,29.263331,7.69824,158.82334,14866.34774,8.44191,5.47662
71.720592,29.425275,7.86928,99.75971,5721.09617,38516.24358,11.24519
71.658873,29.412527,6.56429,31.44595,34263.84682,37900.71723,2.04435
71.686165,29.283893,7.39887,103.19016,7399.38571,3.92106,8.63435
71.642969,29.36428,7.983,115.04883,12328.14477,77.85686,2.25561
71.646721,29.377411,6.82075,151.33752,25477.05848,23138.46291,20.61726
71.677046,29.421581,9.11911,104.21723,6584.32417,29930.28151,6.21496
71.61569,29.261173,10.13398,119.08971,31792.09274,32.40729,34.21547
71.694694,29.311772,4.57579,77.45132,18063.26675,26348.67427,6.72928
71.717569,29.396772,7.37671,98.18193,13153.92911,145.94521,4.48204
71.725828,29.35992,7.50579,82.30587,25712.54961,43929.38282,8.67036
71.616617,29.410479,7.0401,79.04623,38090.28587,6619.05897,4.37408
71.645084,29.388536,6.48539,135.83281,14819.87554,4066.43788,3.29812
71.664911,29.391664,4.04528,83.89218,36075.1827,51288.96647,7.57503
71.664298,29.342415,7.60318,112.7662,6528.05025,6477.9051,2.91969
71.70303,29.301424,7.98305,71.41073,25514.57311,13753.98591,8.14281
71.630214,29.385223,4.24644,165.25754,19558.02741,279.27418,16.61886
71.71357,29.459817,6.8402,86.17547,10544.20089,11427.31722,8.0632
71.63675,29.339638,6.65563,118.86472,18579.48179,12572.96989,47.98312
71.623593,29.330294,7.92658,152.15527,1081.87755,6040.70906,7.61662
71.775905,29.446256,7.7638,86.33164,6811.12848,53165.34864,5.04806
71.666094,29.43923,7.9874,107.84906,24522.65355,45570.75012,43.49341
71.651792,29.294076,6.75049,222.77505,20029.39438,39639.83947,24.34523
71.642745,29.35365,7.18903,75.87422,39527.41693,37806.97771,7.56474
71.774958,29.270299,0.62169,92.7873,14982.7563,18110.49094,8.35453
71.630952,29.37124,6.96496,101.47378,27634.22051,37275.82062,73.07141
71.66446,29.446633,6.5157,115.97159,18199.30229,45862.2791,4.38328
71.667321,29.318797,6.82574,73.58668,28054.82322,40140.73344,2.97081
71.622858,29.291603,7.45105,166.57308,31233.99178,6451.65043,78.11558
71.697644,29.399699,6.78396,161.9495,19520.66603,53772.99583,2.92696
71.727701,29.337378,7.26802,111.58123,6691.71753,41386.03557,9.84856
71.754667,29.36963,6.95535,66.90312,31604.99624,35467.21922,8.51123
71.726758,29.26483,7.1107,75.50087,14726.88026,45798.74652,4.75399
71.730492,29.420053,7.7715,62.23382,21034.17246,10677.49421,4.99837
71.756972,29.27495,6.84478,84.26761,24327.51534,33639.33313,90.79566
71.722936,29.331357,7.54041,89.64426,36800.33497,32802.52675,0.97914
71.750179,29.386738,7.07819,118.77611,38423.13933,102.93519,18.54304
71.603546,29.27193,8.88497,169.01233,9590.0782,5251.58948,3.94633
71.683778,29.447198,5.25424,108.50818,3263.57834,34.48173,0.00627
71.662434,29.389445,7.35421,91.71158,20128.46247,44652.60958,8.62476
71.675458,29.33329,7.61589,78.28123,29012.92151,194.84869,20.57041
71.761365,29.423516,7.76451,100.88543,20632.70867,4769.73641,3.75106
71.630326,29.335184,8.90256,118.85546,7019.03495,19005.33473,1.09091
71.682315,29.435668,7.28648,147.03907,39428.36335,10775.32533,1.04891
71.779991,29.416224,6.14235,106.17836,21863.90491,12236.10639,18.58147
71.763621,29.390762,6.83125,91.9185,34171.45334,45027.8389,3.66944
71.617846,29.338187,7.69066,91.17346,10470.89136,6739.96849,15.92173
71.602443,29.380853,7.39065,156.07352,1684.55,35305.29502,8.00684
71.699479,29.325809,6.71016,72.45039,36952.13309,19428.13276,3.96316
71.632936,29.420232,6.86973,85.01336,19103.08831,632.74472,5.98225
71.668006,29.37496,9.20486,157.58411,16131.17868,44867.50379,5.1623
71.612173,29.303007,7.3327,172.77323,18924.73838,39973.62597,5.21901
71.655248,29.417074,6.22693,125.295,38702.29478,52057.71324,8.26404
71.616661,29.454354,6.98169,75.05343,23238.89181,51718.89342,23.66387
71.747834,29.307765,6.05891,123.39329,4181.64111,6040.19047,7.47444
71.657517,29.425606,7.04063,60.2555,12046.14795,16750.35061,0.67801
71.624631,29.285516,7.92918,72.35471,35733.15033,38149.55912,8.5138
71.675952,29.318191,6.82628,82.46737,5540.24218,20291.91368,21.75404
71.772489,29.383011,4.29615,113.99936,24511.38527,1.88941,8.30876
71.642439,29.269919,7.08252,60.47964,35205.27039,353.34548,3.87523
71.778096,29.431936,7.10995,93.68384,28172.80511,47280.45179,60.10694
71.629808,29.364311,6.99523,89.82095,11961.11284,27127.87501,8.22789
71.609914,29.319385,6.84677,163.73776,25090.35758,6846.68758,6.26498
71.657079,29.432368,10.73814,105.46366,6922.49015,3125.30794,8.39577
71.659511,29.291324,6.86906,118.56596,34141.66372,25930.78879,4.31392
71.738143,29.415253,7.56238,65.10398,6986.76364,7609.72152,9.919
71.609464,29.420646,7.59465,154.31263,33638.42821,22183.2129,1.02688
71.7388,29.412163,9.67861,69.07181,29299.74882,50095.27268,8.5795
71.608162,29.261759,6.36698,60.82534,30556.65907,5041.82859,8.52244
71.636429,29.411914,6.98326,124.57916,31305.35132,75.21799,23.6734
71.613622,29.314558,7.88296,58.58876,22208.15077,4998.68647,9.23209
71.652579,29.376866,6.86838,61.44783,26006.25504,9105.76423,3.53142
71.748283,29.270899,7.52258,157.26067,15933.04122,15227.27521,3.4853
71.676923,29.289508,6.82069,83.3453,8145.95439,27706.52031,1.8968
71.620393,29.431626,6.54028,99.19529,32200.90946,53132.78339,6.27944
71.6027,29.41635,6.67817,176.03289,25291.27338,763.59332,5.80091
71.753288,29.277434,7.44433,123.69906,4945.62328,39733.61297,15.83756
71.679389,29.417279,9.87659,119.02511,27476.06495,2.3214,36.08179
71.772211,29.454365,6.84326,130.13958,14297.95052,36417.8208,9.54567
71.658809,29.384351,6.8979,179.96988,893.49336,1043.37724,18.82735
71.724819,29.430573,4.80552,113.79781,31465.42686,51707.1771,8.70243
71.624162,29.443294,7.62277,138.38254,22510.29672,9729.3219,17.86217
71.692822,29.337016,6.92684,86.05324,8908.08695,690.33191,2.73444
71.732975,29.317328,7.53996,65.62941,27464.48118,11982.80449,0.38557
71.612933,29.299157,6.96269,167.61504,1665.66317,17381.81923,13.43606
71.722864,29.367767,7.3462,91.97353,6836.02573,24731.72534,5.09131
71.613528,29.357262,7.304,109.00875,16551.40517,33140.90919,4.16732
71.698108,29.453762,6.87158,88.7745,3969.99196,33558.9558,4.64943
71.763699,29.434244,10.19367,103.3889,4621.02352,349.96605,21.16072
71.707705,29.350342,7.61822,116.97877,39100.89667,2.30568,9.46876
71.707786,29.327418,6.78558,123.81423,3837.06382,2.51831,9.89031
71.66937,29.303102,8.20357,152.6639,28870.66421,6012.1236,1.12342
71.651348,29.457631,6.94889,151.55694,25498.93472,32576.92424,94.47208
71.777449,29.307698,7.01222,133.14603,10043.82292,5310.15399,4.82438
71.605414,29.306926,9.52314,87.42201,19304.30356,50329.90957,23.97157
71.711444,29.434849,7.71342,75.44058,9512.18602,43655.84107,4.39922
71.707424,29.310072,6.80158,100.6644,14205.83413,48771.8643,7.1854
71.719471,29.321373,7.91789,161.6324,27127.65598,9.01316,4.68355
71.606791,29.289376,6.81713,78.16395,34615.13298,483.1465,6.25223
71.755523,29.453825,6.85578,103.08105,38018.22168,25562.74387,5.96186
71.710555,29.425578,5.92664,147.20575,18111.8258,13665.16196,27.49414
71.660198,29.283452,6.51453,105.41083,14054.84241,49328.80199,6.4481
71.670808,29.325738,7.39982,75.19091,31218.60753,50603.42271,1.07773
71.744875,29.296641,4.88731,55.38338,38759.7003,40636.4646,8.59664
71.617719,29.315285,7.58573,75.21209,21825.24771,22208.88184,4.10948
71.687221,29.4117,7.50529,104.70664,10550.79299,17328.62088,23.34261
71.715435,29.396608,7.39171,153.03084,19620.92534,13170.36487,4.21822
71.602682,29.450088,7.04489,77.01811,25115.50175,53634.83199,3.7281
71.617749,29.432382,7.99234,74.48858,11540.52619,21260.1829,5.75923
71.7286,29.315097,7.14177,65.58972,17769.10697,44276.5956,7.35008
71.633559,29.358996,6.90393,137.90453,29492.18917,30861.46722,2.28338
71.726752,29.277396,7.87862,114.64464,19928.38326,26.17897,9.43319
71.767694,29.260074,7.85782,124.66055,5552.96493,30059.8061,24.74043
71.708123,29.436017,7.15022,120.76045,20551.67882,991.09564,3.64608
71.762866,29.332296,7.98729,85.0916,30716.09107,22083.14166,4.04195
71.663841,29.323106,6.77014,175.41608,2382.59365,47031.69227,47.93374
71.748222,29.271281,6.9142,115.98024,23569.28741,5719.14417,3.91422
71.653443,29.32794,6.87519,105.62671,16715.88277,4837.78356,0.30918
71.683368,29.348284,6.68283,97.29252,14775.91862,7571.18751,6.04187
71.731666,29.31356,5.00888,67.2774,1415.58727,33953.79213,29.56491
71.621239,29.273981,10.06173,139.95478,18943.79176,27652.65934,1.05717
